customer_id,age,income,customer_tenure,previous_purchases,average_order_value,website_visits,email_open_rate,discount_usage,recency_days,treatment,purchase_outcome,revenue,true_prob_y0,true_prob_y1,true_ite,engagement_score,value_per_tenure,pred_prob_t1,pred_prob_t0,pred_ite,pred_baseline_prob,uplift_segment
C009111,26,137265.0363871066,33,3,87.96302537887371,8,0.2485500324723591,0.18012466994690574,140,0,0,0.0,0.0382818011012533,0.15859179985174443,0.12030999875049113,1.9884002597788728,2.5871478052609915,0.15110022537513423,0.030100718196261336,0.1209995071788729,0.08438241287928133,Lost Causes
C013035,49,43354.512821539676,28,1,104.56931715163523,3,0.5180961602766839,0.25683663231264797,134,1,0,0.0,0.0326260412309005,0.17767446158147426,0.14504842035057375,1.5542884808300519,3.6058385224701803,0.17332460051128043,0.05490423190021457,0.11842036861106586,0.10459419655371939,Sure Things
C009866,37,45816.704959339324,34,5,79.02043859394595,7,0.3600733651814884,0.3859068329375449,346,1,0,0.0,0.013158543307660558,0.14193533653907833,0.12877679323141777,2.520513556270419,2.2577268169698845,0.11341369958964687,0.020531694017590696,0.09288200557205617,0.07222539167382463,Lost Causes
C013840,21,52514.58590528061,26,4,139.02798903998092,10,0.05825086523088788,0.4337513086641675,263,0,0,0.0,0.016690881596130185,0.13757438484714196,0.12088350325101177,0.5825086523088787,5.149184779258553,0.1767424479723649,0.02518742251800765,0.15155502545435726,0.12309494613430473,Persuadables
C007809,46,25436.356197619796,36,4,104.5672602364845,12,0.2808255668176796,0.26027575656231755,53,1,0,0.0,0.04479814645683756,0.13739653047354022,0.09259838401670267,3.3699068018121556,2.826142168553635,0.15696764698761348,0.0391290232894006,0.11783862369821288,0.09811734431827107,Sure Things
C018322,40,33959.09019860807,53,8,69.16676690172969,10,0.44872329327936494,0.010384171097508561,120,1,0,0.0,0.04508763031407076,0.17074321320843347,0.1256555828943627,4.487232932793649,1.280866053735735,0.1181326279193488,0.04215834419398901,0.07597428372535978,0.1072283255983798,Sure Things
C017429,34,37210.07606623896,28,2,68.47731763122704,3,0.26017499509760444,0.5153333285272547,334,0,0,0.0,0.010997801273423676,0.17756127966422267,0.166563478390799,0.7805249852928133,2.361286814869898,0.1348128492374311,0.015691847419214568,0.11912100181821653,0.07271376894088843,Lost Causes
C004436,43,52990.10777037387,36,7,105.81712389805818,16,0.15299216567246732,0.39337777946896757,253,1,0,0.0,0.021313150059380708,0.1278887492179557,0.106575599158575,2.447874650759477,2.859922267515086,0.15850873577120764,0.03267848923024926,0.12583024654095837,0.08858039109743443,Lost Causes
C001076,47,20000.0,33,1,61.90741144780299,1,0.12210319790568508,0.04871775696972937,321,1,0,0.0,0.009219186351836037,0.09694962592544853,0.0877304395736125,0.12210319790568508,1.8208062190530292,0.09076034212254029,0.02026189118671257,0.07049845093582773,0.06694679789727827,Lost Causes
C015359,56,182399.42762297098,14,1,87.8938283516205,5,0.36632981116822727,0.04144829326223584,160,0,0,0.0,0.035297762748771534,0.1213599620211851,0.08606219927241357,1.8316490558411362,5.8595885567747,0.15143646229134808,0.02175957733411329,0.12967688495723478,0.08812208165580199,Persuadables
